Hospital overall rating,Mortality national comparison,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Median Time Spent in Emergency Department Before Leaving,Median Time Spent in Emergency Department After Doctor Decides to Admit as Inpatient,Median Household Income,% of 25+ with High School Degree or Higher,% of 25+ with Bachelor Degree or Higher,Median Age,%65+,%White,%Black,%Hispanic/Latino
4.0,0.0,1.0,0.0,0.0,0.0,121.0,115.0,47842.0,86.6,18.2,46.0,21.1,95.8,2.5,5.8
3.0,0.0,0.0,-1.0,0.0,1.0,134.0,88.0,55226.0,93.0,22.4,39.3,17.7,97.1,2.1,9.0
,,,,,,,,56196.0,96.6,46.6,38.3,19.8,88.3,8.6,5.3
,,,,,,,,37857.0,81.6,24.8,32.1,13.2,68.9,21.7,29.1
3.0,0.0,-1.0,1.0,1.0,0.0,176.0,86.0,32133.0,84.0,14.0,37.5,16.9,94.2,4.8,2.5
,,,,,0.0,172.0,45.0,38287.0,97.1,15.0,40.5,20.5,99.5,4.6,4.0
3.0,0.0,0.0,0.0,0.0,1.0,97.0,47.0,51858.0,85.6,18.9,41.2,17.7,90.9,8.1,6.5
4.0,0.0,0.0,,0.0,1.0,85.0,50.0,36168.0,77.3,13.3,44.2,21.9,92.1,8.0,3.3
2.0,0.0,0.0,-1.0,0.0,0.0,139.0,104.0,39771.0,87.2,11.2,44.2,21.0,95.8,4.3,1.2
3.0,0.0,1.0,-1.0,-1.0,0.0,172.0,56.0,49745.0,90.8,21.8,38.7,15.7,86.2,10.7,6.4
,,,,,0.0,102.0,10.0,49539.0,84.7,19.3,42.2,17.6,96.7,2.1,19.2
3.0,0.0,1.0,0.0,0.0,-1.0,200.0,300.0,68318.0,84.4,18.5,32.1,10.4,71.8,22.6,39.5
4.0,0.0,1.0,1.0,,1.0,114.0,10.0,53325.0,94.0,26.8,45.1,22.4,98.6,1.3,2.9
1.0,0.0,-1.0,-1.0,0.0,-1.0,226.0,290.0,118309.0,94.7,58.0,42.1,17.6,82.3,12.0,13.4
2.0,-1.0,-1.0,-1.0,1.0,0.0,185.0,95.0,49068.0,91.9,39.3,35.3,16.8,66.2,31.2,4.4
,,,,,,,,49467.0,92.2,38.0,28.5,9.2,81.6,9.6,9.3
4.0,0.0,1.0,0.0,0.0,1.0,109.0,66.0,60625.0,96.4,42.7,42.0,21.3,95.9,0.4,2.1
2.0,0.0,-1.0,0.0,0.0,-1.0,213.0,295.0,62550.0,91.3,30.5,46.5,23.6,88.4,8.7,5.6
2.0,-1.0,-1.0,-1.0,1.0,-1.0,186.0,156.0,38151.0,88.2,15.1,53.5,29.1,95.6,1.1,6.4
3.0,0.0,-1.0,-1.0,0.0,-1.0,161.0,164.0,24967.0,67.1,10.6,34.3,8.4,72.5,23.9,9.0
,,,,,,,,31964.0,76.8,7.3,40.6,15.1,40.4,51.9,8.7
,,,,0.0,1.0,83.0,20.0,49943.0,92.0,24.5,46.3,24.7,96.4,1.6,2.7
3.0,0.0,0.0,,0.0,0.0,124.0,45.0,30144.0,80.3,12.9,39.0,16.5,88.2,10.8,0.0
,,,1.0,,,,,118640.0,96.3,69.7,35.1,8.2,80.9,8.8,2.3
4.0,0.0,1.0,0.0,0.0,0.0,160.0,89.0,39156.0,81.6,19.8,39.4,20.6,68.7,31.0,4.2
2.0,0.0,-1.0,-1.0,0.0,-1.0,144.0,119.0,102062.0,90.2,34.7,43.3,18.5,12.3,73.5,13.1
,,,1.0,0.0,,,,22632.0,90.8,36.1,45.5,21.8,73.7,24.9,2.1
4.0,0.0,1.0,0.0,0.0,-1.0,189.0,101.0,39866.0,77.7,15.8,39.6,18.9,94.2,5.4,4.0
3.0,0.0,1.0,0.0,0.0,0.0,162.0,80.0,39683.0,71.5,17.9,31.0,9.6,51.9,25.7,27.9
5.0,0.0,1.0,0.0,1.0,1.0,136.0,60.0,60289.0,89.8,22.5,41.7,17.2,95.9,1.9,7.7
4.0,0.0,0.0,,,1.0,95.0,22.0,61273.0,92.2,21.6,46.6,20.3,97.0,1.7,1.6
,,0.0,,,1.0,102.0,24.0,53875.0,91.7,22.2,48.3,27.6,98.7,0.8,1.5
4.0,0.0,0.0,1.0,0.0,0.0,125.0,61.0,51554.0,95.3,24.9,44.8,20.0,98.6,0.8,0.3
3.0,,0.0,,0.0,,96.0,,49360.0,86.6,19.2,37.8,14.9,93.9,1.4,18.2
,,,1.0,,,,,70682.0,96.4,56.1,35.6,16.7,80.3,13.8,6.6
,,,,,,,,67582.0,95.6,21.8,46.3,23.1,99.1,0.3,1.2
3.0,0.0,-1.0,,0.0,1.0,78.0,3.0,36157.0,79.7,16.1,42.4,16.7,82.9,6.9,16.2
,,,1.0,0.0,,134.0,,67040.0,94.7,37.8,37.6,15.7,84.3,6.0,4.8
4.0,0.0,-1.0,1.0,,1.0,120.0,54.0,35183.0,77.2,13.4,42.7,20.0,97.8,1.6,2.4
4.0,,0.0,1.0,0.0,1.0,132.0,56.0,42168.0,90.2,19.9,48.9,24.8,98.2,0.3,1.2
5.0,0.0,1.0,1.0,0.0,0.0,125.0,89.0,51813.0,83.6,17.9,45.6,20.5,96.9,4.1,1.2
,,,,,,,,44167.0,92.2,51.3,31.7,12.6,76.8,14.6,8.2
4.0,0.0,1.0,1.0,0.0,0.0,142.0,55.0,57390.0,88.6,22.1,43.6,19.7,93.5,3.2,18.7
2.0,-1.0,-1.0,-1.0,0.0,1.0,125.0,80.0,44769.0,87.7,21.4,38.2,16.8,93.1,6.1,2.2
4.0,0.0,0.0,1.0,,,,,28927.0,75.8,13.8,38.8,19.5,84.5,14.4,3.7
,,,,,1.0,103.0,49.0,72906.0,95.1,25.0,43.5,17.1,99.2,0.9,1.5
,,,,,,,,38839.0,71.8,12.8,36.2,16.1,58.6,38.7,8.2
4.0,,0.0,,0.0,1.0,89.0,39.0,53859.0,91.3,22.5,46.8,25.0,98.2,1.0,1.5
1.0,0.0,-1.0,-1.0,0.0,-1.0,177.0,186.0,51277.0,86.5,23.5,39.8,18.0,5.2,90.1,6.4
,,,0.0,0.0,1.0,102.0,56.0,51833.0,93.3,44.4,24.4,8.6,89.4,1.0,11.9
,,0.0,,,1.0,118.0,20.0,35000.0,85.2,23.9,44.6,24.6,96.5,2.3,7.9
1.0,-1.0,-1.0,-1.0,0.0,0.0,134.0,73.0,38699.0,84.5,19.2,50.7,27.9,91.3,8.9,7.2
5.0,0.0,1.0,1.0,1.0,-1.0,177.0,226.0,150997.0,98.1,88.1,37.7,17.8,83.7,8.2,10.3
5.0,1.0,-1.0,-1.0,0.0,0.0,98.0,131.0,74561.0,92.4,47.2,42.0,18.1,80.9,6.3,16.4
3.0,0.0,0.0,0.0,0.0,1.0,118.0,45.0,47477.0,88.5,21.0,37.7,17.1,96.5,5.1,16.5
,,,,0.0,1.0,100.0,22.0,45912.0,80.2,12.8,43.7,19.9,99.4,0.2,0.8
,,,,,,,,101661.0,94.1,47.1,37.0,8.8,77.3,12.1,13.6
,,,,0.0,1.0,133.0,21.0,50169.0,78.1,14.1,38.2,15.9,91.9,6.8,20.0
3.0,-1.0,1.0,-1.0,0.0,-1.0,131.0,195.0,51831.0,92.1,28.6,43.3,19.5,91.2,1.5,8.5
3.0,0.0,-1.0,-1.0,0.0,-1.0,174.0,201.0,54321.0,91.2,21.6,45.4,19.7,94.8,6.0,1.4
,,,1.0,,,86.0,,91431.0,97.4,70.8,33.5,5.1,34.5,16.9,10.3
3.0,1.0,1.0,-1.0,-1.0,0.0,206.0,77.0,51391.0,88.6,25.5,40.7,19.8,92.1,9.4,2.1
4.0,0.0,-1.0,1.0,0.0,1.0,99.0,52.0,58948.0,94.3,24.0,40.8,16.8,97.6,2.1,1.2
4.0,,0.0,1.0,0.0,0.0,118.0,74.0,45582.0,87.9,14.9,44.9,22.8,96.2,1.5,1.1
,,,,,1.0,78.0,15.0,40625.0,92.7,24.6,46.6,24.8,97.0,0.8,1.8
3.0,0.0,-1.0,1.0,0.0,0.0,115.0,127.0,57017.0,88.7,20.4,41.6,18.3,97.0,2.0,2.6
2.0,0.0,-1.0,-1.0,1.0,1.0,122.0,66.0,44321.0,90.0,22.5,48.5,24.4,91.9,5.2,8.9
4.0,0.0,0.0,1.0,,1.0,86.0,47.0,50782.0,88.6,16.8,43.8,20.3,98.2,0.4,1.1
3.0,0.0,-1.0,1.0,0.0,1.0,138.0,51.0,49278.0,93.7,23.2,43.1,20.9,98.1,0.9,1.4
,,-1.0,,,,,66.0,35212.0,84.4,20.7,27.4,8.3,3.8,1.1,0.6
4.0,,0.0,1.0,0.0,,165.0,82.0,63705.0,93.0,35.7,40.0,16.0,90.8,1.3,4.7
,,,,0.0,1.0,92.0,10.0,43472.0,93.7,17.8,42.5,22.3,99.2,0.3,3.9
2.0,0.0,0.0,0.0,,,,,53224.0,67.7,12.5,33.5,14.3,80.1,5.0,43.3
3.0,0.0,-1.0,1.0,,0.0,140.0,77.0,61193.0,92.5,22.3,40.7,16.1,98.5,1.5,4.1
4.0,0.0,1.0,0.0,0.0,0.0,113.0,76.0,30781.0,77.3,9.2,43.7,19.6,96.1,3.7,2.8
3.0,0.0,-1.0,0.0,0.0,0.0,149.0,96.0,44181.0,87.7,18.6,45.2,22.1,96.2,2.9,3.0
,,,,,,,,77377.0,96.6,47.5,36.3,12.8,76.2,19.4,3.4
3.0,0.0,-1.0,0.0,0.0,1.0,154.0,76.0,72467.0,90.3,33.1,33.6,7.3,79.7,13.6,33.4
,,,,,,,,75466.0,90.0,22.7,32.8,9.2,96.3,1.9,15.4
3.0,0.0,-1.0,0.0,0.0,-1.0,105.0,198.0,22840.0,72.3,7.3,31.1,10.9,13.6,86.3,0.8
4.0,1.0,-1.0,1.0,0.0,0.0,176.0,78.0,66983.0,93.5,37.5,34.3,11.9,68.1,19.2,26.3
3.0,-1.0,1.0,-1.0,-1.0,-1.0,184.0,122.0,61525.0,94.8,33.4,39.3,16.6,91.8,4.1,5.6
,,,1.0,,,,,109891.0,97.2,58.7,43.3,14.0,67.8,28.8,5.3
,,,,,,157.0,76.0,40559.0,97.4,27.3,22.3,0.1,67.7,21.7,21.1
4.0,0.0,1.0,1.0,0.0,0.0,124.0,101.0,41255.0,86.0,14.6,46.1,23.8,95.6,0.6,8.4
,,,1.0,,,128.0,,230750.0,99.4,68.3,41.8,8.6,81.2,2.8,5.2
4.0,0.0,1.0,1.0,0.0,0.0,154.0,70.0,44679.0,95.8,37.3,38.8,19.0,96.8,0.0,4.5
4.0,0.0,1.0,0.0,0.0,0.0,115.0,75.0,47549.0,88.8,21.6,50.1,28.0,98.5,0.5,1.1
3.0,0.0,0.0,0.0,,1.0,83.0,45.0,39049.0,85.4,12.6,40.4,19.8,75.0,24.2,4.0
2.0,0.0,0.0,-1.0,-1.0,-1.0,136.0,124.0,42379.0,75.1,16.1,32.6,13.6,81.4,2.1,48.8
4.0,1.0,1.0,1.0,0.0,-1.0,208.0,128.0,76935.0,93.1,35.6,40.4,14.4,96.6,2.1,2.4
,,,1.0,0.0,,,,53158.0,92.0,18.9,35.5,14.1,97.7,0.9,4.6
4.0,0.0,1.0,0.0,0.0,0.0,127.0,103.0,53090.0,92.9,39.8,28.1,13.7,90.6,1.8,9.7
4.0,,,0.0,0.0,,,88.0,64505.0,76.6,16.6,31.7,9.7,64.7,6.7,60.8
5.0,0.0,1.0,1.0,0.0,1.0,110.0,42.0,49644.0,87.5,17.5,38.1,15.5,90.5,2.0,9.1
,,,,,,99.0,,43616.0,86.8,14.0,39.8,15.4,90.8,0.3,4.2
4.0,0.0,1.0,1.0,0.0,1.0,120.0,63.0,45234.0,90.1,23.3,34.0,12.5,79.9,17.6,4.9
4.0,0.0,1.0,1.0,,0.0,110.0,71.0,35440.0,91.8,17.9,54.3,23.8,98.7,0.4,0.9
4.0,,1.0,1.0,0.0,1.0,109.0,9.0,43726.0,76.2,16.3,38.0,18.9,94.4,5.3,24.5
3.0,,-1.0,0.0,0.0,1.0,119.0,90.0,53470.0,83.3,26.8,51.5,25.4,77.1,23.0,0.8
5.0,1.0,1.0,1.0,0.0,0.0,190.0,109.0,67451.0,95.9,48.9,44.4,24.8,83.4,11.9,1.9
4.0,0.0,1.0,0.0,0.0,0.0,165.0,143.0,87042.0,95.7,44.8,38.8,16.3,88.0,1.5,12.5
2.0,1.0,0.0,0.0,0.0,-1.0,184.0,149.0,100730.0,92.4,52.4,43.6,17.2,32.9,1.7,13.9
5.0,1.0,1.0,1.0,0.0,-1.0,285.0,272.0,162715.0,97.4,73.1,49.0,24.8,80.0,0.8,3.8
,,,,,,,,46504.0,82.7,41.5,34.7,9.4,29.7,7.1,31.4
4.0,0.0,0.0,1.0,,,,,46801.0,90.5,18.3,41.3,19.7,97.4,1.8,1.3
2.0,0.0,-1.0,-1.0,0.0,-1.0,228.0,114.0,115096.0,95.4,46.4,42.7,17.2,93.5,1.3,11.5
,,,,,,,,34312.0,78.6,17.9,34.4,10.4,50.7,15.1,43.8
3.0,0.0,1.0,-1.0,0.0,-1.0,213.0,153.0,132292.0,93.6,60.0,40.8,14.7,71.7,14.0,10.6
,,0.0,,,,124.0,,49813.0,84.8,15.8,48.3,26.9,96.7,0.0,1.8
3.0,0.0,1.0,-1.0,1.0,0.0,161.0,150.0,39879.0,84.1,20.4,28.7,7.1,38.3,49.1,32.0
5.0,0.0,1.0,0.0,0.0,1.0,104.0,61.0,50485.0,89.7,48.4,28.1,9.1,37.8,50.0,13.5
2.0,-1.0,-1.0,1.0,0.0,-1.0,137.0,224.0,49068.0,91.9,39.3,35.3,16.8,66.2,31.2,4.4
3.0,0.0,0.0,0.0,0.0,0.0,120.0,84.0,48141.0,47.4,8.2,30.3,7.8,57.7,1.0,82.6
,,,,,1.0,61.0,40.0,39715.0,77.3,12.3,42.7,20.8,86.8,12.4,2.5
,,,,,0.0,114.0,18.0,47115.0,81.1,20.0,43.3,26.5,93.1,0.0,7.1
3.0,0.0,-1.0,0.0,0.0,0.0,116.0,95.0,61564.0,93.2,22.1,42.1,18.4,98.4,1.0,1.1
4.0,0.0,-1.0,1.0,,1.0,127.0,36.0,48361.0,92.0,18.3,46.3,21.8,95.6,4.2,1.2
3.0,0.0,-1.0,0.0,1.0,-1.0,151.0,140.0,38332.0,89.4,30.0,30.9,9.2,79.7,11.6,50.0
2.0,-1.0,-1.0,-1.0,0.0,-1.0,158.0,204.0,43683.0,86.2,28.6,32.1,9.2,17.3,78.4,4.9
3.0,0.0,0.0,-1.0,0.0,-1.0,203.0,152.0,94891.0,90.1,49.5,34.8,8.4,48.3,25.3,22.7
3.0,,-1.0,,,1.0,103.0,3.0,55617.0,95.1,23.2,40.3,18.1,97.2,1.2,4.3
4.0,0.0,1.0,1.0,0.0,0.0,188.0,84.0,168807.0,96.5,75.5,41.7,13.9,82.6,3.3,7.8
3.0,0.0,-1.0,1.0,0.0,-1.0,194.0,153.0,57027.0,94.1,43.2,33.0,11.8,79.7,8.3,18.7
,0.0,0.0,,,,,,44265.0,93.0,16.7,56.0,34.6,99.6,0.4,1.7
5.0,0.0,1.0,1.0,0.0,0.0,157.0,86.0,105904.0,97.9,74.6,44.5,23.4,85.8,2.2,10.3
5.0,0.0,1.0,0.0,0.0,-1.0,170.0,160.0,70647.0,91.9,35.6,35.5,11.8,46.3,16.8,8.4
,,,,,,102.0,,57648.0,76.2,12.2,41.3,12.9,77.7,8.8,19.7
2.0,0.0,-1.0,-1.0,1.0,0.0,124.0,120.0,69102.0,95.8,55.3,39.9,19.9,84.3,11.5,10.8
,,0.0,,,1.0,123.0,12.0,28454.0,81.9,12.5,38.7,18.2,83.8,2.0,75.8
5.0,,,1.0,0.0,0.0,95.0,52.0,48618.0,81.2,15.6,35.1,13.2,74.5,10.9,26.8
3.0,1.0,-1.0,-1.0,0.0,0.0,90.0,84.0,149423.0,94.8,66.5,47.1,23.1,89.8,1.4,8.7
3.0,0.0,-1.0,1.0,0.0,0.0,182.0,112.0,82965.0,98.8,70.3,38.2,17.4,93.2,3.6,2.1
2.0,0.0,-1.0,-1.0,0.0,-1.0,157.0,200.0,72009.0,92.3,66.4,29.9,12.5,73.9,5.6,12.0
3.0,0.0,0.0,0.0,0.0,1.0,118.0,34.0,57636.0,86.5,19.2,41.3,16.5,90.7,8.9,2.7
,,,1.0,,,,,151279.0,92.9,69.2,38.1,14.1,74.8,5.0,16.4
,,,1.0,,,,,81616.0,95.2,54.2,36.5,15.0,65.1,28.8,4.8
3.0,0.0,1.0,-1.0,0.0,0.0,118.0,96.0,41087.0,73.4,15.1,34.3,13.6,59.3,34.2,28.1
5.0,0.0,1.0,1.0,0.0,0.0,147.0,118.0,54941.0,94.6,37.0,42.4,19.1,96.4,1.6,1.6
4.0,0.0,1.0,1.0,,,143.0,,52610.0,69.6,19.3,31.7,11.6,68.1,4.1,34.2
4.0,0.0,1.0,0.0,0.0,0.0,129.0,90.0,36051.0,94.6,51.0,27.3,11.9,85.4,3.8,15.2
4.0,0.0,1.0,1.0,0.0,1.0,150.0,61.0,62705.0,94.6,31.0,43.8,21.0,97.2,1.8,2.5
5.0,0.0,1.0,0.0,0.0,1.0,89.0,69.0,40817.0,88.3,15.8,38.4,14.7,90.6,11.2,5.6
2.0,0.0,1.0,-1.0,0.0,-1.0,174.0,88.0,86706.0,93.4,36.0,38.0,11.7,68.3,26.8,13.1
5.0,0.0,1.0,0.0,0.0,0.0,147.0,62.0,83060.0,94.5,34.7,34.2,11.4,93.7,0.6,10.3
4.0,,0.0,,,1.0,65.0,5.0,38241.0,89.1,13.2,45.1,22.9,98.3,1.7,3.4
,,,,,,,,43015.0,84.7,20.1,53.8,27.4,96.2,2.1,4.2
2.0,0.0,1.0,-1.0,0.0,0.0,130.0,107.0,41307.0,90.4,17.8,33.1,13.6,67.9,28.7,6.9
5.0,1.0,0.0,1.0,0.0,0.0,138.0,96.0,61680.0,81.4,23.7,35.6,12.3,68.7,8.9,37.5
2.0,0.0,-1.0,0.0,0.0,0.0,170.0,59.0,35761.0,85.6,14.8,36.1,12.4,70.0,28.2,15.8
2.0,1.0,-1.0,0.0,0.0,-1.0,250.0,202.0,48600.0,81.0,13.7,36.4,13.6,17.0,68.8,27.3
3.0,0.0,0.0,1.0,,,112.0,124.0,57632.0,88.2,35.0,40.4,17.6,96.1,3.3,2.6
3.0,0.0,0.0,0.0,-1.0,0.0,141.0,114.0,124346.0,94.8,57.4,44.5,18.9,85.3,3.0,10.7
,,,,,,,,41976.0,82.4,15.2,40.9,20.1,84.0,4.1,46.6
2.0,0.0,-1.0,-1.0,0.0,1.0,90.0,118.0,53504.0,90.2,18.5,40.8,18.5,97.4,2.3,2.1
3.0,0.0,-1.0,0.0,0.0,1.0,72.0,46.0,55676.0,89.0,24.2,38.8,18.0,92.3,3.1,5.6
3.0,,0.0,,,-1.0,190.0,162.0,42758.0,88.3,17.5,50.9,29.5,96.6,0.9,6.4
4.0,0.0,0.0,1.0,0.0,0.0,176.0,120.0,109250.0,93.8,59.6,42.3,16.7,84.1,6.2,20.5
4.0,0.0,1.0,1.0,0.0,,,,56546.0,91.7,17.0,40.3,17.4,92.4,4.0,12.1
3.0,,0.0,1.0,0.0,0.0,115.0,71.0,52013.0,85.7,13.1,35.0,14.2,91.3,3.2,40.8
,,,,,1.0,81.0,30.0,45417.0,83.9,8.6,40.6,19.3,90.1,4.7,28.1
2.0,0.0,1.0,0.0,-1.0,-1.0,208.0,310.0,30830.0,82.0,19.8,34.6,14.6,14.7,84.3,3.2
2.0,0.0,-1.0,-1.0,0.0,-1.0,184.0,135.0,37957.0,83.1,22.3,36.0,17.4,47.0,50.3,4.3
3.0,1.0,-1.0,0.0,0.0,-1.0,248.0,148.0,96079.0,91.0,41.3,41.3,18.0,78.3,3.0,18.0
3.0,0.0,1.0,-1.0,0.0,0.0,178.0,80.0,140486.0,93.1,47.0,39.3,11.9,63.2,7.5,12.2
5.0,0.0,1.0,-1.0,0.0,1.0,130.0,79.0,53236.0,83.6,24.3,33.4,10.5,56.3,29.4,32.0
,,,,,,107.0,,68008.0,95.0,24.2,35.6,19.6,98.9,1.1,4.1
,,,,,,,,33500.0,76.0,4.8,32.6,12.5,79.5,18.5,3.0
1.0,-1.0,-1.0,-1.0,0.0,-1.0,190.0,131.0,41015.0,82.4,18.9,27.0,9.2,78.7,15.6,7.6
,,,,,,,40.0,38449.0,84.7,14.6,25.6,8.2,10.2,0.2,0.7
,,,1.0,,,,47.0,102947.0,94.7,58.7,47.4,23.6,82.9,3.7,12.6
4.0,,0.0,,,1.0,88.0,20.0,64231.0,93.7,28.6,44.0,22.5,97.8,1.4,0.0
,,,,,,,,36265.0,77.4,15.0,48.9,28.2,63.6,31.8,8.5
4.0,0.0,1.0,1.0,0.0,1.0,110.0,62.0,46969.0,88.4,19.9,44.2,22.4,96.7,1.3,2.5
4.0,0.0,0.0,1.0,,0.0,130.0,45.0,54926.0,93.6,22.0,44.3,20.8,99.1,0.7,0.6
3.0,0.0,-1.0,0.0,0.0,0.0,157.0,82.0,46245.0,90.8,31.3,37.8,18.7,87.2,9.6,9.7
3.0,0.0,0.0,0.0,0.0,0.0,164.0,65.0,47169.0,75.9,16.5,33.7,13.8,70.9,10.8,43.2
3.0,0.0,0.0,0.0,0.0,0.0,138.0,89.0,47169.0,84.1,20.3,44.1,21.4,85.0,12.1,7.1
4.0,0.0,1.0,0.0,0.0,1.0,117.0,75.0,38061.0,86.3,18.0,38.6,17.2,51.1,46.6,1.6
3.0,-1.0,1.0,0.0,0.0,0.0,159.0,108.0,49623.0,91.2,39.8,36.4,15.3,69.2,24.5,9.3
4.0,0.0,1.0,1.0,0.0,0.0,121.0,77.0,55232.0,93.2,17.4,36.0,14.2,95.5,5.8,2.1
5.0,-1.0,1.0,1.0,0.0,0.0,162.0,96.0,53688.0,95.7,48.2,35.3,15.9,71.9,20.3,17.5
4.0,0.0,0.0,0.0,0.0,1.0,120.0,51.0,39716.0,88.9,18.3,42.4,16.4,99.5,0.1,1.0
4.0,,0.0,1.0,,1.0,112.0,46.0,54546.0,95.5,34.5,48.3,20.3,99.2,0.0,2.4
2.0,0.0,-1.0,,,0.0,99.0,57.0,36516.0,82.0,11.9,42.5,16.6,72.3,21.0,11.4
,,,1.0,,,,,36147.0,86.6,31.9,30.8,7.1,44.5,53.6,9.3
2.0,0.0,-1.0,-1.0,0.0,-1.0,122.0,123.0,54888.0,92.6,22.6,42.6,20.1,81.6,19.0,2.5
3.0,0.0,-1.0,0.0,0.0,0.0,111.0,72.0,51387.0,85.2,26.2,39.3,19.5,89.9,1.0,42.3
3.0,0.0,1.0,0.0,0.0,1.0,99.0,57.0,37910.0,82.3,15.6,43.8,20.0,71.4,27.4,3.6
4.0,0.0,1.0,1.0,0.0,1.0,135.0,64.0,54181.0,92.8,28.0,44.6,22.4,96.5,2.5,3.0
,,0.0,,,,113.0,,41768.0,88.3,18.8,40.8,18.0,98.4,1.4,2.2
5.0,,1.0,1.0,0.0,1.0,118.0,50.0,94004.0,97.6,45.5,40.3,13.1,96.8,1.4,2.3
3.0,0.0,0.0,0.0,0.0,1.0,122.0,49.0,46911.0,85.5,20.6,39.6,19.5,95.0,4.8,1.9
5.0,0.0,1.0,1.0,0.0,1.0,102.0,59.0,61875.0,96.1,24.6,43.2,18.7,98.5,0.2,0.0
4.0,0.0,1.0,0.0,,0.0,177.0,60.0,35433.0,82.4,18.4,49.0,28.9,90.2,3.1,10.0
,,-1.0,,,,80.0,,65280.0,88.9,23.7,35.0,16.6,86.9,3.6,11.4
,,,,,0.0,96.0,40.0,46942.0,75.3,12.8,37.1,19.1,96.4,0.7,14.6
,,0.0,,,1.0,90.0,16.0,55225.0,82.4,20.2,50.0,27.1,99.5,0.8,0.9
2.0,0.0,-1.0,-1.0,0.0,-1.0,228.0,125.0,69308.0,78.1,22.9,36.1,12.1,64.5,3.8,74.8
,,,,,,,,33977.0,75.4,15.3,37.6,22.4,55.0,45.0,1.8
1.0,0.0,-1.0,-1.0,0.0,-1.0,175.0,120.0,43492.0,80.5,19.5,33.3,12.2,49.4,47.3,18.9
4.0,0.0,0.0,0.0,0.0,1.0,94.0,42.0,52789.0,89.6,17.9,36.1,15.9,80.4,0.9,4.4
4.0,0.0,1.0,0.0,0.0,,,50.0,64860.0,84.2,20.8,37.4,15.2,38.9,26.3,31.1
1.0,-1.0,-1.0,0.0,0.0,0.0,146.0,78.0,53745.0,92.4,37.5,33.4,14.7,87.5,11.1,2.2
3.0,0.0,1.0,-1.0,0.0,0.0,182.0,111.0,74211.0,85.9,30.4,35.9,11.9,80.4,3.3,28.6
2.0,0.0,1.0,-1.0,0.0,0.0,185.0,90.0,44375.0,89.3,19.0,42.9,19.3,87.1,12.8,1.9
,,,1.0,,,,,103444.0,97.8,69.6,38.9,13.3,86.5,4.4,3.9
3.0,0.0,1.0,-1.0,0.0,-1.0,188.0,167.0,79568.0,92.2,34.6,33.9,6.5,41.6,49.9,11.9
4.0,0.0,1.0,0.0,0.0,1.0,77.0,88.0,35073.0,86.4,16.7,39.7,17.8,58.1,42.3,3.3
3.0,0.0,-1.0,1.0,0.0,-1.0,154.0,201.0,63263.0,93.0,39.3,33.7,14.0,87.4,6.5,5.6
4.0,0.0,0.0,-1.0,0.0,0.0,146.0,53.0,46677.0,84.0,24.2,32.4,9.5,77.1,19.8,13.1
4.0,0.0,1.0,0.0,0.0,1.0,139.0,30.0,51394.0,83.7,22.9,35.7,16.8,83.1,9.9,19.4
4.0,0.0,1.0,-1.0,0.0,1.0,135.0,62.0,69685.0,85.2,25.0,36.3,14.0,78.0,18.0,13.0
4.0,-1.0,1.0,1.0,0.0,1.0,140.0,54.0,50574.0,83.9,15.0,43.0,17.7,96.9,3.5,2.8
1.0,-1.0,-1.0,-1.0,0.0,1.0,152.0,61.0,35198.0,80.2,16.4,36.8,17.3,55.1,38.9,21.5
,,,,,,89.0,,37125.0,53.8,11.3,38.0,13.0,95.0,2.1,66.9
3.0,0.0,0.0,,0.0,,,50.0,40508.0,89.1,11.4,39.0,18.1,93.4,7.5,8.8
,,,,,,,,33076.0,69.8,14.6,32.6,11.5,48.5,26.0,58.6
,,,,,,,,74517.0,92.2,25.7,35.3,11.3,79.7,10.8,33.6
4.0,0.0,1.0,0.0,0.0,0.0,186.0,112.0,29821.0,93.5,34.2,26.9,9.2,86.9,7.3,2.1
3.0,0.0,-1.0,0.0,0.0,-1.0,222.0,116.0,40740.0,86.1,20.0,43.2,20.2,69.3,29.2,11.0
4.0,0.0,0.0,,0.0,1.0,131.0,43.0,41514.0,83.0,15.1,43.7,22.9,94.5,5.0,1.8
3.0,0.0,0.0,0.0,0.0,1.0,93.0,54.0,52655.0,77.3,16.3,35.4,13.7,88.2,6.2,40.8
,,0.0,,,0.0,108.0,52.0,58179.0,93.4,20.1,44.0,18.2,97.4,0.6,1.1
,,,,0.0,,100.0,63.0,51408.0,90.6,28.6,33.4,16.2,94.5,4.7,3.8
2.0,-1.0,1.0,-1.0,0.0,-1.0,146.0,157.0,69605.0,95.6,42.7,40.4,17.4,90.8,7.0,3.1
,,,,,1.0,87.0,7.0,53000.0,92.7,16.4,50.0,30.0,99.7,0.2,0.2
2.0,0.0,-1.0,-1.0,0.0,0.0,124.0,110.0,57201.0,91.6,23.3,38.0,15.7,72.8,21.4,13.4
,,,,,,,,53566.0,90.6,17.1,34.0,14.1,94.4,5.4,3.5
4.0,0.0,1.0,1.0,0.0,0.0,115.0,113.0,44083.0,89.0,17.6,40.0,18.4,93.1,7.5,1.5
5.0,0.0,0.0,1.0,,0.0,115.0,37.0,53887.0,89.4,16.1,44.9,19.1,92.8,4.7,2.4
4.0,0.0,1.0,0.0,0.0,0.0,133.0,96.0,51255.0,85.9,19.8,46.4,20.9,85.1,15.8,1.0
