Hospital overall rating,Mortality national comparison,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Median Time Spent in Emergency Department Before Leaving,Median Time Spent in Emergency Department After Doctor Decides to Admit as Inpatient,Median Household Income,% of 25+ with High School Degree or Higher,% of 25+ with Bachelor Degree or Higher,Median Age,%65+,%White,%Black,%Hispanic/Latino
4.0,0.0,1.0,-1.0,-1.0,-1.0,183.0,139.0,41381.0,88.2,31.3,29.1,11.4,59.3,38.2,5.1
2.0,1.0,-1.0,-1.0,0.0,-1.0,221.0,176.0,58649.0,86.2,25.3,34.4,12.1,63.9,8.2,50.2
,,,1.0,,,,,79651.0,94.1,41.0,39.7,14.3,89.3,6.1,1.8
2.0,0.0,0.0,0.0,0.0,1.0,156.0,80.0,81253.0,90.9,43.4,35.1,10.5,87.7,9.0,15.3
3.0,0.0,0.0,,,1.0,122.0,54.0,63390.0,99.6,36.2,68.3,55.5,99.4,0.3,0.3
2.0,0.0,0.0,-1.0,0.0,0.0,181.0,69.0,,64.2,4.6,87.8,100.0,77.1,18.3,0.0
,,,,,0.0,76.0,,35938.0,89.5,15.9,46.3,30.1,95.7,0.8,0.0
,,,,,0.0,117.0,74.0,50083.0,77.5,14.7,32.4,12.3,96.7,0.5,36.6
1.0,-1.0,1.0,-1.0,0.0,-1.0,157.0,175.0,45654.0,91.8,21.6,48.4,24.4,83.1,15.8,4.9
,,,,,0.0,120.0,92.0,51601.0,78.0,18.0,28.2,5.2,87.9,2.2,92.9
3.0,1.0,-1.0,0.0,0.0,0.0,157.0,104.0,53447.0,89.2,27.7,40.2,17.1,61.2,37.0,3.6
3.0,,-1.0,,0.0,0.0,132.0,90.0,64643.0,85.9,14.2,40.3,16.4,86.1,12.2,1.3
,,,,,1.0,84.0,22.0,46397.0,81.4,13.3,37.7,16.3,80.1,11.5,15.6
3.0,0.0,-1.0,0.0,0.0,1.0,110.0,66.0,45675.0,84.2,16.3,38.7,15.5,91.7,7.6,5.2
,,,,,,87.0,30.0,50208.0,90.4,26.4,32.3,15.9,47.5,1.5,0.0
3.0,-1.0,1.0,0.0,0.0,1.0,146.0,70.0,52112.0,95.2,45.1,36.2,17.3,68.5,27.0,7.2
4.0,,0.0,1.0,0.0,,,72.0,125520.0,93.4,60.6,35.7,12.3,42.8,3.2,15.6
3.0,0.0,1.0,0.0,0.0,0.0,130.0,67.0,35745.0,82.6,13.5,38.6,19.0,93.0,0.7,10.1
4.0,0.0,-1.0,1.0,0.0,0.0,130.0,116.0,35436.0,87.9,10.6,41.1,19.0,96.1,4.6,4.3
3.0,0.0,1.0,-1.0,0.0,0.0,116.0,73.0,45634.0,84.7,22.9,38.0,16.3,65.0,33.5,4.6
4.0,0.0,-1.0,0.0,0.0,-1.0,170.0,191.0,64158.0,92.7,23.6,37.7,16.3,87.5,9.2,4.5
4.0,0.0,1.0,0.0,0.0,0.0,138.0,109.0,38904.0,86.2,19.3,37.7,17.9,94.7,6.3,2.4
3.0,0.0,1.0,-1.0,0.0,0.0,131.0,85.0,40732.0,80.8,15.8,44.8,22.5,83.3,13.1,40.3
5.0,0.0,1.0,1.0,,1.0,122.0,31.0,45000.0,96.5,27.8,43.1,22.5,98.6,1.9,2.7
3.0,0.0,1.0,-1.0,0.0,1.0,98.0,50.0,46759.0,88.9,16.2,41.6,18.0,90.9,8.1,12.4
1.0,0.0,-1.0,-1.0,0.0,-1.0,152.0,167.0,45049.0,84.4,20.4,32.7,11.6,51.2,49.5,4.1
1.0,0.0,-1.0,-1.0,0.0,0.0,149.0,80.0,49182.0,88.5,13.4,41.2,16.4,91.1,7.5,6.6
,,,,,,,,61430.0,93.7,25.0,43.6,22.2,95.6,0.4,5.7
5.0,0.0,1.0,1.0,0.0,1.0,151.0,87.0,54199.0,92.6,31.4,41.6,22.2,93.7,2.8,11.3
4.0,0.0,1.0,1.0,0.0,-1.0,152.0,158.0,48569.0,89.8,23.8,35.1,10.5,88.1,2.3,8.7
,,,,,,,,36798.0,80.8,14.3,38.7,17.0,53.5,45.9,3.2
1.0,0.0,-1.0,-1.0,-1.0,-1.0,151.0,205.0,52207.0,71.4,14.9,32.0,12.1,71.4,3.7,67.2
4.0,0.0,0.0,1.0,0.0,1.0,71.0,26.0,59265.0,94.5,22.4,43.1,19.0,97.6,1.3,2.4
,,,1.0,,1.0,111.0,127.0,56866.0,84.2,14.2,40.1,16.9,99.0,0.1,13.1
5.0,,1.0,1.0,0.0,1.0,96.0,46.0,59026.0,90.1,26.6,36.8,12.7,81.4,12.0,8.3
,,,,,1.0,110.0,67.0,40671.0,89.4,10.7,42.2,16.2,82.1,9.5,6.4
4.0,0.0,0.0,0.0,0.0,1.0,116.0,49.0,86631.0,95.5,47.8,43.7,19.0,94.6,4.2,2.1
2.0,0.0,0.0,-1.0,0.0,0.0,112.0,92.0,34415.0,86.4,31.8,24.5,10.1,61.0,36.3,4.8
2.0,0.0,-1.0,-1.0,0.0,0.0,110.0,110.0,61260.0,96.5,57.8,42.6,20.5,73.9,24.4,5.3
3.0,0.0,1.0,0.0,0.0,0.0,138.0,156.0,65158.0,92.5,62.6,37.8,14.2,70.5,27.0,5.4
4.0,0.0,1.0,1.0,,1.0,138.0,58.0,44972.0,90.9,16.9,42.7,20.1,97.1,2.5,2.4
,,,,0.0,,,,58775.0,93.8,23.3,45.5,18.7,98.4,0.0,0.0
3.0,0.0,1.0,-1.0,0.0,1.0,134.0,55.0,33653.0,82.8,20.3,26.8,11.6,89.4,6.9,14.2
,,,1.0,,1.0,123.0,32.0,58542.0,95.0,27.0,49.5,25.9,98.0,0.8,1.4
1.0,-1.0,-1.0,-1.0,0.0,1.0,154.0,56.0,57995.0,94.0,29.7,54.4,33.1,96.0,3.4,7.0
2.0,-1.0,-1.0,-1.0,0.0,0.0,182.0,86.0,40702.0,84.1,16.0,37.7,15.7,68.5,31.3,4.1
2.0,0.0,0.0,-1.0,0.0,0.0,148.0,121.0,72836.0,88.9,31.2,40.3,15.5,76.3,23.5,9.5
4.0,0.0,1.0,0.0,0.0,0.0,127.0,122.0,46789.0,91.4,17.8,39.1,17.5,98.6,0.9,3.5
4.0,0.0,0.0,0.0,0.0,1.0,110.0,60.0,47279.0,81.4,14.8,37.7,15.6,74.8,7.3,42.4
5.0,0.0,1.0,1.0,0.0,0.0,116.0,80.0,72679.0,94.2,39.8,55.6,28.8,97.5,4.1,2.9
4.0,0.0,-1.0,1.0,0.0,0.0,187.0,128.0,83434.0,96.5,52.8,46.8,23.2,91.3,3.8,2.9
,,,1.0,0.0,,,,92225.0,93.5,50.3,43.9,19.6,90.4,2.3,23.5
3.0,0.0,-1.0,0.0,0.0,0.0,126.0,59.0,67750.0,96.7,38.1,58.0,33.5,96.6,0.7,5.7
3.0,0.0,-1.0,1.0,0.0,-1.0,150.0,158.0,93188.0,95.5,70.2,38.9,15.8,90.5,6.0,5.2
,,,,,1.0,122.0,25.0,42244.0,93.4,23.9,49.5,27.4,98.7,0.1,4.0
2.0,1.0,1.0,-1.0,0.0,-1.0,123.0,122.0,43204.0,70.8,13.9,30.3,8.1,55.3,19.0,61.6
,,,,,0.0,,94.0,51556.0,91.6,25.7,47.6,27.2,94.6,1.1,7.9
1.0,0.0,-1.0,-1.0,0.0,0.0,126.0,102.0,54119.0,91.4,21.7,37.6,14.5,79.9,18.0,14.4
3.0,0.0,-1.0,1.0,0.0,1.0,109.0,58.0,55176.0,89.2,23.3,41.6,18.6,99.0,0.7,4.3
4.0,0.0,-1.0,0.0,0.0,-1.0,211.0,90.0,82765.0,94.8,38.2,47.5,20.9,93.2,4.2,1.6
